filename	ncbi_accession	taxonomy
GCA_000063445.1_ASM6344v1_genomic	GCA_000063445.1	d__Archaea;p__Halobacteriota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__Methanocella_A;s__Methanocella_A arvoryzae
GCA_000091665.1_ASM9166v1_genomic	GCA_000091665.1	d__Archaea;p__Methanobacteriota_A;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus jannaschii
GCA_000092185.1_ASM9218v1_genomic	GCA_000092185.1	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__Thermosphaera;s__Thermosphaera aggregans
GCA_000092305.1_ASM9230v1_genomic	GCA_000092305.1	d__Archaea;p__Methanobacteriota_A;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus_A;s__Methanocaldococcus_A infernus
GCA_000092465.1_ASM9246v1_genomic	GCA_000092465.1	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__Staphylothermus;s__Staphylothermus hellenicus
GCA_000144915.1_ASM14491v1_genomic	GCA_000144915.1	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus saccharovorans
GCA_000145295.1_ASM14529v1_genomic	GCA_000145295.1	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteraceae;g__Methanothermobacter;s__Methanothermobacter marburgensis
GCA_000145985.1_ASM14598v1_genomic	GCA_000145985.1	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans
GCA_000147875.1_ASM14787v1_genomic	GCA_000147875.1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanolacinia;s__Methanolacinia petrolearia
GCA_000148385.1_ASM14838v1_genomic	GCA_000148385.1	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta distributa
